n,#GAQ,#AQ,#Connected
1,1,1,1
2,1,1,0
3,2,2,1
4,3,3,1
5,4,4,3
6,3,2,0
7,6,6,5
8,9,7,3
9,11,11,8
10,5,4,0
11,10,10,9
12,11,6,3
13,12,12,11
14,7,6,0
15,8,8,3
16,29,23,9
17,16,16,15
18,17,11,0
19,18,18,17
20,15,12,3
21,13,12,5
22,11,10,0
23,22,22,21
24,32,14,5
25,39,39,34
26,13,12,0
27,51,45,35
28,20,18,5
29,28,28,27
30,15,8,0
31,30,30,29
32,87,48,17
33,20,20,9
34,17,16,0
35,24,24,15
36,64,33,18
37,36,36,35
38,19,18,0
39,25,24,11
40,45,28,9
41,40,40,39
42,23,12,0
43,42,42,41
44,32,30,9
45,44,44,24
46,23,22,0
47,46,46,45
48,114,46,21
49,83,83,76
50,49,39,0
51,32,32,15
52,39,36,11
53,52,52,51
54,87,45,0
55,41,40,27
56,66,42,19
57,37,36,17
58,29,28,0
59,58,58,57
60,60,24,15
61,60,60,59
62,31,30,0
63,69,66,40
64,363,167,97
65,48,48,33
66,33,20,0
67,66,66,65
68,51,48,15
69,44,44,21
70,35,24,0
71,70,70,69
72,205,77,37
73,72,72,71
74,37,36,0
75,84,78,39
76,56,54,17
77,60,60,45
78,41,24,0
79,78,78,77
80,158,92,34
81,299,233,218
82,41,40,0
83,82,82,81
84,79,36,15
85,64,64,45
86,43,42,0
87,56,56,27
88,97,70,27
89,88,88,87
90,85,44,0
91,72,72,55
92,68,66,21
93,61,60,29
94,47,46,0
95,72,72,51
96,378,96,43
97,96,96,95
98,97,83,0
99,110,110,72
100,154,117,34
101,100,100,99
102,51,32,0
103,102,102,101
104,117,84,33
105,52,48,15
106,53,52,0
107,106,106,105
108,342,135,100
109,108,108,107
110,57,40,0
111,73,72,35
112,204,138,45
113,112,112,111
114,59,36,0
115,88,88,63
116,87,84,27
117,135,132,88
118,59,58,0
119,96,96,75
120,177,56,21
121,219,219,208
122,61,60,0
123,80,80,39
124,92,90,29
125,297,277,249
126,127,66,0
127,126,126,125
